Province,Map NO. of Wiki,Capital,Latitude,Longtitude,
Badakhshan,30,Fayzabad,37.7,70.34,
Badghis,4,Qala i Naw,34.59,63.7,
Baghlan,19,Puli Khumri,35.57,68.42,
Balkh,13,Mazar-i-Sharif,36.42,67.07,
Bamyan,15,Bamyan,34.49,67.5,
Daykundi,10,Nili,33.43,66.7,
Farah,2,Farah,32.2,62.7,
Faryab,5,Maymana,35.56,64.45,
Ghazni,16,Ghazni,33.32,68.25,
Ghor,6,Chaghcharan,34.31,65.15,
Helmand,7,Lashkargah,31.34,64.22,
Herat,1,Herat,34.2,62.12,
Jowzjan,8,Sheberghan,36.39,65.45,
Kabul,22,Kabul,34.31,69.1,
Kandahar,12,Kandahar,31.37,65.43,
Kapisa,29,Mahmud-i-Raqi,35.1,69.19,
Khost,26,Khost,33.19,69.55,
Kunar,34,Asadabad,34.52,71.9,
Kunduz,18,Kunduz,36.43,68.52,
Laghman,32,Mihtarlam,34.39,70.11,
Logar,23,Pul-i-Alam,33.58,69.02,
Nangarhar,33,Jalalabad,34.26,70.26,
Nimruz,3,Zaranj,30.57,61.51,
Nuristan,31,Parun,35.25,70.55,
Paktia,24,Gardez,33.36,69.13,
Paktika,25,Sharana,33.7,68.46,
Panjshir,28,Bazarak,35.18,69.3,
Parwan,20,Charikar,35,69.1,
Samangan,14,Samangan,36.15,68.1,
Sar-e Pol,9,Sar-e Pol,36.13,65.55,
Takhar,27,Taloqan,36.43,69.31,
Uruzgan,11,Tarinkot,32.37,65.52,
Wardak,21,Maidan Shar,34.23,68.52,
Zabul,17,Qalat,32.6,66.54,
